word,wordclass,translations,synonyms,definition,sentences
absurd,adj,우스꽝스러운;터무니없는,fantastic;bizarre;crazy;fanciful;foolish;insane;nonsensical;preposterous;unreal;wild,conceived or made without regard for reason or reality,*Absurd* claims of having been abducted by UFO's.
absurd,adj,불합리한;이치에 안맞는;부조리한,foolish;asinine;balmy;brainless;bubbleheaded;cockeyed;crackpot;crazy;cuckoo;daffy;daft;dippy;dotty;fatuous;featherheaded;fool;half-baked;harebrained;half-witted;inept;insane;jerky;kooky;loony;lunatic;hunkheaded;mad;nonsensical;nutty;preposterous;sappy;screwball;senseless;silly;simpleminded;stupid;tomfool;unwise;wacky;weak-minded;witless;zany,showing or marked by a lack of good sense or judgement,An *absurd* rule that bicycles are not allowed in the park.
anguish,n,고뇌;번뇌;괴로움,"affliction;agony;distress,excruciation;hurt;misery;pain;rack;strait;torment;torture;travail;tribulation;woe",a state of great suffering of body or mind,"As a new teacher, she was in real *anguish* over the decision to report the cheating."
anguish,n,비탄;번민;비통,affliction;sorrow;dolefulness;dolor;grief;heartache;heartbreak;sorriness;woe,deep sadness especially for the loss of someone or something loved,Words can't express my *anguish* at losing my cat.
anguish,v,고뇌하다,agonize;afflict;bedevil;beset;besiege;curse;excruciate;harrow;persecute;plague;rack;torment;torture,to cause persistent suffering to,She was *anguished* by the fear that her sons would die in the war.
anguish,v,비탄에 빠지다,agonize;grieve;bleed;hurt;mourn;sorrow;suffer,to feel deep sadness or mental pain,I *anguished* over the loss of my father for years afterwards.
boast,n,자랑;허풍,glory;credit;crown jewel;honor;jewel;pride;treasure;trophy,an assert that brings praise or renown,The school's *boast* was a winning football team.
boast,v,자랑하다;뽐내다,blow;brag;bull;crow;gasconade;swagger;vapor;vaunt,"to praise or express pride in one's own possessions, qualities, or accomplishments often to excess",He *boasted* about his latest killing in real estate so I thought he should be the one to pay for dinner.
boast,v,가지고 있다,bear;contain;hold,to have within,The hotel *boasts* nearly 50 rooms.
bolt,v,느닷없이 움직이다;갑자기 움직이다,start;jump;startle,to move suddenly and sharply (as in surprise),I *bolted* as I read the winning lottery numbers.
bolt,v,빠르게 움직이다,barrel;belt;blast;blaze;blow;hurry;bomb;bowl;breeze;bundle;bustle;buzz;cannonball;careen;career;chase;course;crack;dash;drive;fly;hare;hasten;hie;highball;hotfoot;humphurl;hurtle;hustle;jet;jump;motor;nip;pelt;race;ram;rip;rocket;run;rush;rustle;scoot;scurry;scuttle;shoot;speed;step;tear;travel;trot;whirl;whisk;zip;zoom,to proceed or move quickly,The cat *bolted* for the food dish the minute he spied it.
bolt,v,벗어나다,run;break;bug out;flee;fly;hightail;retreat;run away;run off;skedaddle,to hasten away from something dangerous or frightening,The rabbit *bolted* when it saw the fox approaching.
bolt,v,내뱉다,blat;blurt;exclaim;cry;ejaculate,to utter with a sudden burst of strong feeling,*Bolted* out the cuss word without thinking.
bolt,v,퍼먹다;급히 먹다,gobble;cram;devour;glut;gorge;gormandize;gulp;inguritate;inhale;raven;scarf;scoff;slop;wolf,to swallow or eat greedily,"The way you *bolted*  those hot dogs, it's no wonder you're feeling a little queasy."
brisk,adj,활발한;활기 있는,active;airy;animate;animated;bouncing;lively;energetic;frisky;gay;jaunty;jazzy;kinetic;mettlesome;peppy;perky;pert;pizzazzy;racy;snappy;spanking;sparky;spirited;sprightly;springy;vital;vivacious;zippy,having much high-spirited energy and movement,A *brisk* exercise that many athletes use to warm up.
brisk,adj,빠른,blistering;breakneck;breathless;fast;dizzy;fleet;fleet-footed;flying;galloping;hasty;hot;lightening;nippy;quick;rapid;rapid-fire;rattling;snappy;speedy;splitting;swift;whirlwind;zippy,"moving, proceeding, or acting with great speed",Moved at a *brisk* walk through the exhibit.
brisk,adj,활발한;활기 있는,aboil;abubble;abuzz;animated;astir;alive;bustling;busy;buzzing;flourishing;happening;hopping;humming;kinetic;lively;rousing;stirring;thriving;vibrant,"marked by much life, movement, or activity",*Brisk* trading on the stock market.
choir,n,합창단;성가대,chorus;chorale;consort;glee club,an organized group of singers,Brad joined the *choir* for next year.
choir,v,합창하다,warble;hum;intone;shout;harmonize,to sing or sound in chorus,"He *choirs* then sang the national air of ""God save the King."""
compel,v,강요하다;~하게 하다,blackjack;coerce;force;constrain;dragoon;drive;impel;impress;make;muscle;obligate;oblige;press;pressure;sandbag,to cause (a person) to give in to pressure,Public opinion *compelled* her to fire her scandal-plagued aide.
countenance,n,표정;안색,cast;look;expression;face;visage,facial appearance regarded as an indication of mood or feeling,A pleasant *countenance* that puts visitors at ease.
countenance,v,호의를 보이다;묵인하다,accept;care;approve;favor;subscribe,to have a favorable opinion of,I don't *countenance* such behavior in children of any age.
devastate,v,파괴하다,destroy;ravage;ruin;scourge,to bring destruction to (something) through violent action,"The city was *devastated*, first by the earthquake and then by fires."
devastate,v,완전히 파괴하다;황폐시키다,annihilate;cream;decimate;demolish;desolate;destroy;do in;extinguish;nuke;pull down;pulverize;raze;rub out;ruin;shatter;smash;tear down;total;vaporize;waste;wrack;wreck,"to bring to a complete end the physical soundness, existence, or usefulness of",The explosion *devastated* an entire city block.
devastate,v,절망하다,crush;overwhelm;floor;grind;oppress;overcome;overmaster;overpower;prostrate;snow under;swamp;whelm,to subject to incapacitating emotional or mental stress,We were *devastated* by the awful news of his death.
disinterested,adj,관심이 없는,apathetic;casual;complacent;indifferent;incurious;insensible;insouciant;nonchalant;perfunctory;prococurante;unconcerned;uncurious;uninterested,having or showing a lack of interest or concern,"The city's philistines, naturally *disinterested* in art, voted to cut the museum's budget."
disinterested,adj,공평한;객관적인;사심이 없는,candid;fair;dispassionate;equal;equitable;evenhanded;imparial;indifferent;just;nonpartisan;objective;square;unbiased;unprejudiced,"marked by justice, honesty, and freedom from bias.",A judge who is widely respected for his *disinterested* decisions.
